Rank,Name,Net Worth,Age,Source,Country of Citizenship
1015,Fu Guangming & family,1.2,58,poultry,China
1015,Alan Gerry,1.2,82,cable television,United States
1015,Sam Goi,1.2,63,Frozen Foods,Singapore
1015,Ra-Hee Hong Lee,1.2,66,Samsung,South Korea
1015,Huang Shih Tsai,1.2,60,real estate,Hong Kong
1015,George Joseph,1.2,90,insurance,United States
1015,"Jim Justice, II.",1.2,60,coal,United States
1015,Ke Xiping & family,1.2,51,Investment,China
1015,Sidney Kimmel,1.2,84,retail,United States
1015,Pyotr Kondrashev,1.2,62,fertilizers,Russia
1015,Andrei Kosogov,1.2,51,"oil, telecom, banking",Russia
1015,Yuri Kovalchuk,1.2,60,"banking, insurance, media",Russia
1015,Andrei Kozitsyn,1.2,51,metals,Russia
1015,Lee Boo-Jin,1.2,41,Samsung,South Korea
1015,Peter Lewis,1.2,78,Progressive Corp,United States
1015,Daniel Loeb,1.2,50,Hedge Funds,United States
1015,Anatoly Lomakin,1.2,59,fertilizers,Russia
1015,Ma Jianrong & family,1.2,48,Textile-Apparel,China
1015,Nikolai Maximov & family,1.2,54,investments,Russia
1015,C. Dean Metropoulos,1.2,65,investments,United States
1015,Marius Nacht,1.2,46,software,Israel
1015,Akio Nitori,1.2,68,retail,Japan
1015,Megdet Rahimkulov,1.2,66,investments,Russia
1015,Krit Ratanarak,1.2,65,"Media, real estate",Thailand
1015,Alexander Rovt,1.2,59,fertilizer,United States
1015,Lily Safra,1.2,74,inheritance,Monaco
1015,Teddy Sagi,1.2,40,Playtech,Israel
1015,Nikolai Sarkisov,1.2,43,"insurance, real estate",Russia
1015,Sergei Sarkisov,1.2,52,"insurance & real estate",Russia
1015,Thomas Secunda,1.2,57,Bloomberg,United States
1015,Leonid Simanovsky,1.2,62,investments,Russia
1015,Ronald Southern,1.2,81,Utilities,Canada
1015,John Sperling,1.2,91,Apollo Group,United States
1015,Peter Sperling,1.2,52,education,United States
1015,Mark Stevens,1.2,52,venture capital,United States
1015,Petter Stordalen,1.2,49,Hotels,Norway
1015,Frank Stronach,1.2,79,auto parts,Canada
1015,Jon Stryker,1.2,53,medical technology,United States
1015,Henry Swieca,1.2,54,hedge funds,United States
1015,Vincent Tan,1.2,60,diversified,Malaysia
1015,Tang Xiuguo,1.2,48,manufacturing,China
1015,Garibaldi Thohir,1.2,46,Coal,Indonesia
1015,Kenny Troutt,1.2,64,Excel Communications,United States
1015,Tsai Ming-kai,1.2,-,semiconductors,Taiwan
1015,Todd Wagner,1.2,51,online media,United States
1015,Charlotte Colket Weber,1.2,69,Campbell Soup,United States
1015,Yan Zhi,1.2,39,Real Estate,China
1015,Jerry Yang,1.2,43,Yahoo,United States
1015,Gavril Yushvaev,1.2,54,"food industry, real estate",Russia
1075,"Kenneth Adams, Jr.",1.1,89,Oil,United States
1075,Lia Maria Aguiar,1.1,-,inheritance,Brazil
1075,Majid Al Futtaim,1.1,-,"real estate, retail",United Arab Emirates
1075,Jose Maria Aristrain,1.1,49,steel,Spain
1075,Elisabeth Badinter,1.1,68,Advertising,France
1075,Thomas Bailey,1.1,75,finance,United States
1075,Benu Gopal Bangur,1.1,80,Cement,India
1075,Thomas Barrack,1.1,64,Colony Capital,United States
1075,Elena Baturina,1.1,49,construction,Russia
1075,Tom Benson,1.1,84,New Orleans Saints,United States
1075,Carl Berg,1.1,74,real estate,United States
1075,Emilio Botin,1.1,77,banking,Spain
1075,Oleg Boyko,1.1,47,"entertaiment, retail, real estate",Russia
1075,Jim Breyer,1.1,50,Venture Capital,United States
1075,Antonio Jose Carneiro,1.1,68,electricity distribution,Brazil
1075,Chen Tianqiao,1.1,39,entertainment,China
1075,Michael Chiang,1.1,59,electronics,Taiwan
1075,Richard Chilton Jr,1.1,53,hedge funds,United States
1075,Cho Tak Wong & family,1.1,65,chemicals,Hong Kong
1075,"Chase Coleman, III.",1.1,36,hedge fund,United States
1075,Ashwin Dani,1.1,69,paints,India
1075,Darwin Deason,1.1,71,Xerox,United States
1075,Andrea Della Valle,1.1,46,shoes,Italy
1075,Aydin Dogan,1.1,75,media,Turkey
1075,Faruk Eczacibasi,1.1,57,"pharmaceuticals, diversified",Turkey
1075,David Einhorn,1.1,43,Hedge Fund,United States
1075,Philip Falcone,1.1,49,hedge funds,United States
1075,Fang Wei,1.1,38,manufacturing,China
1075,Valentin Gapontsev & family,1.1,73,Lasers,Russia
1075,Geng Jianming,1.1,49,real estate,China
1075,Yusuf Hamied,1.1,75,pharmceuticals,India
1075,Richard Hayne,1.1,64,Urban Outfitters,United States
1075,He Qiaonv & family,1.1,46,landscape architecture,China
1075,John Henry,1.1,62,sports,United States
1075,Huang Hongyun & family,1.1,45,Real estate,China
1075,Huang Maoru & family,1.1,46,retail,Belize
1075,Huang Shaowu,1.1,41,retail,China
1075,Mohammed Ibrahim,1.1,65,communications,United Kingdom
1075,Rakesh Jhunjhunwala,1.1,51,investments,India
1075,Koo Bon-Neung,1.1,63,electronics,South Korea
1075,Michael Krasny,1.1,58,retail,United States
1075,Alexander Lebedev,1.1,52,"investments, banking",Russia
1075,James Leininger,1.1,66,medical devices,United States
1075,Solomon Lew,1.1,67,Retail,Australia
1075,Li Tan,1.1,47,pharmaceuticals,China
1075,Lin Congying,1.1,51,apparel,Hong Kong
1075,Lin Xiucheng & family,1.1,56,electronics,China
1075,Jeffrey Lurie,1.1,60,Philadelphia Eagles,United States
1075,William Macaulay,1.1,66,energy investments,United States
1075,Yusaku Maezawa,1.1,36,online retailing,Japan
1075,Mao Zhongwu,1.1,49,manufacturing,China
1075,Aubrey McClendon,1.1,52,natural gas,United States
1075,Meng Qingshan & family,1.1,63,chemicals,China
1075,William Moncrief Jr,1.1,91,oil,United States
1075,Nihat Ozdemir,1.1,61,diversified,Turkey
1075,Nelson Peltz,1.1,69,investments,United States
1075,Roger Penske,1.1,75,cars,United States
1075,Kevin Plank,1.1,39,Under Armour,United States
1075,Theodore Rachmat,1.1,68,Coal,Indonesia
1075,Patrick Ryan,1.1,74,insurance,United States
1075,David Sainsbury,1.1,71,retail,United Kingdom
1075,Thomas Sandell,1.1,51,hedge funds,Sweden
1075,Hajime Satomi,1.1,70,gaming,Japan
1075,"Bernard Saul, II.",1.1,79,"banking, real estate",United States
1075,Bacaksiz Sezai,1.1,62,diversified,Turkey
1075,Dan Snyder,1.1,47,Washington Redskins,United States
1075,Alexander Spanos & family,1.1,88,real estate,United States
1075,Eric Sprott,1.1,67,Asset management,Canada
1075,Mehmet Sinan Tara,1.1,53,construction,Turkey
1075,Wang Wenxue,1.1,44,real estate,China
1075,Allan Wong & family,1.1,-,electronics,Hong Kong
1075,Xiang Wenbo,1.1,49,manufacturing,China
1075,Xiu Laigui,1.1,57,pharmaceuticals,China
1075,Ye Chenghai,1.1,68,pharmaceuticals,Hong Kong
1075,Albert Yeung,1.1,68,diversified,Hong Kong
1075,Larry Yung,1.1,70,diversified,China
1075,Zhang Zhixiang,1.1,45,steel,China
1152,Yu Minhong,1.05,50,education,China
1153,Robert Agostinelli,1,58,private equity,United States
1153,Alberto Alcocer,1,69,investments,Spain
1153,Michael Ashcroft,1,66,Security,United Kingdom
1153,Mehmet Rustu Basaran,1,65,"bank, gas",Turkey
1153,Sara Blakely,1,41,Spanx,United States
1153,Christopher Chandler,1,52,investments,New Zealand
1153,Yan Cheung,1,55,paper,China
1153,Chung Yong-Jin,1,43,retail,South Korea
1153,Turgay Ciner,1,56,diversified,Turkey
1153,James Clark,1,68,Netscape,United States
1153,Alberto Cortina,1,66,investments,Spain
1153,Belmiro de Azevedo,1,74,retail,Portugal
1153,K. Dinesh & family,1,57,software,India
1153,Charles Dunstone,1,48,mobile phones,United Kingdom
1153,John Edson,1,79,leisure craft,United States
1153,Gabriel Escarrer,1,77,hotels,Spain
1153,Fan Zhaoxia & family,1,44,photovoltaic equipment,China
1153,Mikhail Fedyaev,1,49,"coal, railway transport, machinery",Russia
1153,Feng Hailiang,1,51,copper,China
1153,Henry Fong Yun Wah,1,87,real estate,Hong Kong
1153,Tetsuro Funai,1,85,electronics,Japan
1153,Vladimir Gruzdev,1,45,investments,Russia
1153,Mehmet Nazif Gunal,1,64,"Tourism, Construction",Turkey
1153,Suat Gunsel,1,59,"Real Estate, Education",Cyprus
1153,Mubariz Gurbanoglu,1,44,shipping,Turkey
1153,Joaquin Guzman Loera,1,54,drug trafficking,Mexico
1153,Alfredo Harp Helu & family,1,68,banking,Mexico
1153,Mehmet Hattat,1,66,Diversified,Turkey
1153,Morris Kahn,1,82,software,Israel
1153,Dmitry Kamenshchik,1,43,airport,Russia
1153,William Kellogg,1,68,"Kohl's",United States
1153,Nasser Khalili,1,66,"art, real estate",United Kingdom
1153,Mustafa Vehbi Koc,1,51,diversified,Turkey
1153,Marc Ladreit de Lacharriere,1,71,finance,France
1153,Kar Po Law,1,-,hotels,Hong Kong
1153,Lee Jay-Hyun,1,52,diversified,South Korea
1153,Lee Seo-Hyun,1,39,Samsung,South Korea
1153,Li Guoqiang,1,48,auto distribution,China
1153,Liang Zhaoxian,1,47,Appliances,China
1153,Liu Canglong,1,57,Conglomerate,China
1153,Liu Ming Chung,1,49,paper manufacturing,Brazil
1153,Mangal Prabhat Lodha,1,56,real estate,India
1153,Vijay Mallya,1,56,liquor,India
1153,Yuri Milner,1,50,social networking,Russia
1153,Bhupendra Kumar Modi,1,63,telecom,India
1153,John Morgridge,1,78,Cisco,United States
1153,Charles Munger,1,88,Berkshire Hathaway,United States
1153,Niu Yishun,1,57,tires,China
1153,Maxim Nogotkov,1,35,"retail, banking",Russia
1153,Roberto Ongpin,1,75,diversified,Philippines
1153,Peter Peterson,1,85,Blackstone Group,United States
1153,Petro Poroshenko,1,46,confectionery,Ukraine
1153,Que Wenbin & family,1,48,Pharmaceutical,China
1153,Ren Zhengfei,1,68,telecom equipment,China
1153,Arkady Rotenberg,1,60,"construction, pipes, banking",Russia
1153,Nathaniel Rothschild,1,40,Banking,Canada
1153,Chanchai Ruayrungruang,1,58,Beverages,China
1153,Suzan Sabanci Dincer,1,47,diversified,Turkey
1153,Sevket Sabanci,1,75,diversified,Turkey
1153,Gerald Schwartz,1,70,finance,Canada
1153,Nobutoshi Shimamura & family,1,86,retail,Japan
1153,Paul Singer,1,67,hedge funds,United States
1153,Thomas Straumann,1,48,dental implants,Switzerland
1153,Sun Piaoyang,1,53,pharmaceuticals,China
1153,Djoko Susanto,1,62,Retail,Indonesia
1153,Alain Taravella,1,64,real estate,France
1153,Sergei Tsikalyuk,1,53,insurance,Russia
1153,Murat Vargi,1,64,telecom,Turkey
1153,Andrey Verevskiy,1,37,agriculture,Ukraine
1153,Wen Yibo & family,1,46,Manufacturing,China
1153,Wu Chung-Yi,1,53,manufacturing,Taiwan
1153,Xu Jingren & family,1,67,pharmaceuticals,China
1153,Denise York,1,61,real estate,United States
1153,Zhang Guiping & family,1,60,real estate,China
